Continent,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Asia,Nepal,8230991,8372203,8512546,8653473,8796252,8941972,9091534,9245658,9404902,9569700,9740462,9917687,10102057,10294480,10495972,10707313,10928950,11160972,11403306,11655685,11917872,12189968,12472000,12763547,13064044,13373069,13690544,14016547,14351017,14693930,15045329,15405456,15774532,16152598,16539682,16936006,17341408,17756510,18183258,18624187,19081064,19554170,20042806,20546441,21064150,21594872,22137784,22691788,23255046,23825372,24400606,24980184,25562573,26143530,26717875,27281945,27833665,28373838,28905358
South America,Peru,7632461,7821202,8020389,8228650,8445110,8669403,8901699,9142672,9393411,9655274,9929439,10216429,10515695,10825440,11143120,11466936,11796103,12131226,12473584,12825119,13187182,13559712,13941958,14333692,14734523,15143887,15561809,15987545,16418798,16852621,17286832,17720017,18152344,18585148,19020616,19460111,19903833,20350457,20797983,21243700,21685537,22122065,22553275,22980182,23404523,23827163,24248671,24667356,25079136,25478577,25861887,26228274,26579252,26916342,27242033,27558769,27866387,28166078,28463338
South America,Venezuela,5093708,5290182,5504783,5733449,5972956,6220929,6475873,6737137,7004812,7279562,7562108,7852680,8150542,8453781,8759890,9067485,9375646,9686071,10003238,10333268,10680678,11045959,11428022,11827681,12245478,12681017,13135849,13607958,14088961,14567680,15036273,15490555,15932973,16370463,16813481,17269324,17740108,18222505,18711830,19201096,19685177,20162745,20635233,21103592,21569680,22034909,22499248,22962221,23424338,23886213,24348304,24810691,25273336,25736393,26199994,26664122,27128721,27593427,28057485
Asia,Malaysia,6109907,6261928,6433126,6618149,6813133,7015713,7225097,7441991,7668339,7906924,8160113,8428536,8709925,8998621,9286976,9569499,9844029,10112042,10376210,10640883,10909353,11182967,11461117,11742976,12027040,12312736,12600292,12891897,13191366,13503629,13832586,14178739,14542156,14925545,15331937,15762856,16220169,16701745,17200067,17704839,18208562,18707774,19204087,19701263,20205446,20720810,21247102,21781499,22322448,22867698,23414909,23964621,24515323,25060184,25590453,26100241,26586287,27051142,27502008
Asia,Saudi Arabia,3121337,3194590,3274903,3359455,3446429,3535014,3625448,3718978,3817701,3924325,4041422,4170636,4311990,4463589,4622460,4787033,4957637,5137042,5329207,5539331,5771846,6028687,6311207,6622572,6966138,7344638,7756072,8200523,8684651,9217019,9801475,10440852,11126570,11836762,12542098,13220479,13862213,14469298,15045709,15600314,16139053,16669764,17189075,17679720,18117969,18491845,18786467,19020639,19256649,19578923,20045276,20681576,21463072,22334371,23213767,24041116,24799436,25504176,26166639
Asia,"Korea, Dem. Rep.",9736822,9559286,9458418,9438059,9497569,9631831,9830947,10080542,10362648,10657200,10946479,11219876,11478046,11734690,12011509,12323345,12671954,13048499,13444411,13847248,14246772,14642731,15034521,15411302,15759909,16072089,16341363,16572788,16784068,17000252,17239340,17508435,17802273,18111491,18421195,18720888,19006458,19282372,19556657,19841107,20143212,20466180,20804249,21145052,21471407,21770898,22038893,22278723,22495715,22698674,22894095,23083419,23264576,23436550,23597383,23745941,23882465,24008606,24126329
Europe,Yugoslavia,16297531,16519051,16708339,16936955,17151054,17363720,17507629,17659122,17795514,17968173,18132522,18318174,18500274,18684866,18852368,19038028,19221270,19390351,19552190,19704952,19839733,20014589,20197487,20367416,20549749,20732000,20929536,21125829,21309215,21490291,21615000,21707267,21884748,22018103,22086851,22216101,22339382,22435224,22536381,22634445,22719621,23068157,23086612,22921437,22916714,23025391,23046512,23077312,23247390,23273003,23321566,23443852,23520190,23610989,23719918,23811905,23887171,23946096,23988543
Africa,Ghana,4980879,5088932,5229464,5392178,5568967,5753908,5943367,6135898,6331952,6533404,6742107,6958364,7179577,7399678,7610752,7807845,7986643,8150359,8310713,8484140,8681818,8911291,9167822,9435673,9692196,9922663,10119038,10290712,10461377,10664342,10922708,11246007,11624726,12039663,12462279,12871965,13261929,13638708,14010951,14392619,14793415,15216133,15655847,16105502,16554855,16996901,17429209,17855250,18281113,18715676,19165490,19632265,20114361,20610897,21119911,21639806,22170556,22712403,23264176
Asia,Taiwan,7981000,8251000,8550000,8850000,9160000,9486000,9825000,10164000,10500000,10853000,11209000,11563000,11919000,12277000,12631000,12978000,13321000,13649000,13962000,14282000,14598000,14918000,15226000,15526000,15824000,16122000,16450000,16785000,17112000,17450000,17848000,18177000,18501000,18803000,19083000,19337000,19556000,19758000,19976000,20208000,20278000,20492000,20687000,20886000,21093000,21290000,21458000,21639000,21834000,22008000,22183000,22336000,22451000,22543000,22622000,22701000,22782000,22859000,22921000
Asia,"Yemen, Rep.",4316001,4382878,4454322,4529011,4606037,4684895,4765512,4848224,4933703,5022846,5116419,5214688,5317095,5422115,5527652,5632206,5737000,5842868,5947698,6048704,6144992,6235264,6323380,6419984,6539217,6691425,6880620,7104782,7360655,7642329,7945180,8270681,8620116,8988432,9369068,9758220,10149222,10544972,10962489,11425336,11948209,12540234,13190192,13867656,14530275,15148172,15710211,16226938,16716850,17208494,17723186,18266008,18831819,19419710,20026117,20648643,21288070,21946990,22626595
